Retention Time (min),Base Peak m/z,Key Fragment Ions Observed (vs target),Putative Identity,Cosine Similarity Score,Match Confidence,TIC Run 76 (1e6),TIC Run 79 (1e6),TIC Run 82 ctrl (1e6),Enzyme/Ctrl TIC Ratio,Present in No-Enzyme Control (82)?,Enzyme Enrichment Flag
5.827,57,"[55, 71, 83, 99]",target MW182,0.3687,High,0.761,0.77,0.761,1.01,Yes,
7.572,175,"[55, 71]",target MW182,0.4069,High,2.367,2.441,2.325,1.03,Yes,
7.755,71,"[55, 71, 83, 99, 111]",target MW182,0.4002,High,0.74,0.785,0.773,0.99,Yes,
8.35,138,"[55, 71, 96, 139]",target MW182,0.6336,High,1.587,1.382,1.54,0.96,Yes,
9.048,57,"[55, 71, 83, 96, 99, 111, 139]",target MW182,0.4708,High,0.475,0.466,0.499,0.94,Yes,
9.208,57,"[55, 71, 83, 96, 99, 111]",target MW182,0.4429,High,0.563,0.604,0.579,1.01,Yes,
9.363,191,"[55, 71, 83, 99]",target MW182,0.5335,High,1.175,1.278,1.285,0.95,Yes,
10.45,57,"[55, 71, 83, 96, 99, 111]",target MW182,0.4528,High,0.217,0.231,0.228,0.98,Yes,
12.905,99,"[55, 71, 83, 96, 99, 111, 182]",target MW182,0.4122,High,1.677,1.966,1.908,0.95,Yes,
13.981,99,"[55, 71, 83, 96, 99, 111, 182]",target MW182,0.4451,High,1.912,2.203,1.952,1.05,Yes,
14.261,57,"[55, 71, 83, 96, 99, 111, 139, 153, 182]",target MW182,0.5794,High,0.785,0.926,0.584,1.46,Yes,
14.702,99,"[55, 71, 83, 96, 99, 111, 182]",target MW182,0.4371,High,18.619,18.96,18.685,1.01,Yes,
